कांंेडेाल,कोंडोल
करंंजी,करंजी
कृष्ष्णार,कृष्णार
कृष्ष्णानगर,कृष्णानगर
कृष्ष्णनगर,कृष्णनगर
बालापुुर तळोधी,बालापुर तळोधी
बोेटेकसा,बोटेकसा
बोेथली,बोथली
बोेंडेगाव,बोंदेगाव
बोंेदेळा,बोंदेळा
बंेबाळ,बेंबाळा
ईष्ष्टापुर,ईष्टापुर
ठानेगंाव,ठानेगांव
ठाण्ेागाव,ठाणेगाव
इर्ंदिरानगर,इंदिरानगर
इष्ष्टापूर,इष्टापूर
ंइंदिरानगर, इंदिरानगर
ढोरगठृठा,ढोरगट्ठा
खेैरीपदा,खैरीपदा
खेैरी,खैरी
खोेपडा,खोपडा
खोेबना,खोबना
खांंबाळा,खांबाळा
खरपंुुडी,खरपुंडी
खंेडमक्ता,खेंडमक्ता
खंंडाळा,खंडाळा
ख्ंाडाळा,खंडाळा
घाटस्ाुर,घतसुर
घोटेाविहरी,घोटेविहरी
घोउेवाही,घोडेवाही
घारगंाव,घारगांव
घांेट,घोंट
येेवली,येवली
येेंगलखेडा,येंगलखेडा
येंगलख्ेाडा,येंगलखेडा
यंेगलखेडा,येंगलखेडा
एटापली,एटापल्ली
धानोेरा,धानोरा
धंुडेशिवनी,धुंडेशिवनी
धंुडेशिवणी,धुंडेशिवनी
धंुंडेशिवणी,धुंडेशिवनी
धंडुशिवणी,धुंडेशिवनी
ध्रुंडेशिवनी,धुंडेशिवनी
शेंद्ररवाफा,शेंदुरवाफा
शोेधग्राम,शोध्ग्राम
शोधग्र्राम,शोध्ग्राम
शोधगा्रम,शोध्ग्राम
शंेदुरवाफा,शेंदुरवाफा
शंेरपूर हेटी,शेरपूर हेटी
शोधग्र्राम,शोधग्राम
्रगडचिोली,गडचिरोली
्रगडचिरोली,गडचिरोली
लेखामंेढा,लेखामेंढा
लोेंढोली,लोंढोली
लांेढोली,लोंढोली
लाखांंदूर,लाखांदुर
गुंंजेवाही,गुंजेवाही
गडीसुुुर्ला,गडीसुर्ला
गडचिरोेली,गडचिरेाली
गडािचरोली,गडचिरेाली
गोेगाव,गोगाव
गोेगांव,गोगांव
गोेेेधडा,गोधडा
गोैतमपुर,गौतमपुर
गोैरीपुर,गौरीपुर
गोेंडपीपरी,गोंडपीपरी
गांेदिया,गोंदिया
अर्जर्ुनी मो,अर्जुनीमोर
अजर्ूनी मो.,अर्जुनीमोर
अजर्ूनी मो.,अर्जुनीमोर
अजर्ूनी मो,अर्जुनीमोर
अजर्ूनी,अर्जुनी
अजर्ुनी मोरगाव,अर्जुनी मोरगाव
अजर्ुनी मोर,अर्जुनी मोर
टेेभा,टेभा
अेहरी,अहेरी
अडपल्ल्ली,अडपल्ली
अालेेवारकोटी,अालेवारकोटी
अांंबेटोला,अांबेटोला
अांंबेशिवनी,अांबेशिवनी
अांंंबेटोला,अांबेटोला
अांंंंबेशिवनी,अांबेशिवनी
अांध््रागाव,अांध्रागाव
अाष्ष्टा,अाष्टा
अाष्ष्टी,अाष्टी
अाष्ष्ठी,अाष्ठी
अरसोेडा,अरसोडा
अहेेरी,अहेरी
अमिर्र्झा,अमिर्झा
अमिर्झार्,अमिर्झा
टंेभा,टेंभा
अंतरगंाव,अंतरगांव
अंाबटपल्ली,आंबटपल्ली
अंाबेटोला,आंबेटोली
अंाबेशिवणी,आंबेशिवनी
नलेेेेश्वर,नलेश्वर
नवेगाव रैे,नवेगाव रै
नवेेगाव,नवेगाव
नवेगंाव,नवेगाव
नवागंाव,नवागांव
नवंेगांव,नवेंगांव
नांंदेड,नांदेड
